SKU	Title	Price_AR	Price_Gs_4to1	URL	Category	Available
	MINI Aceite Comestible Love Potion Champagne y Frambuesa &#8211; 15grs	8488	33952	https://shop.sexitive.com/productos/mini-aceite-comestible-love-potion-champagne-y-frambuesa-15grs-27us5/		
	MINI Aceite Comestible Love Potion Frutilla &#8211; 15grs	8488	33952	https://shop.sexitive.com/productos/mini-aceite-comestible-love-potion-frutilla-15grs-m5nry/		
A03M	MINI Aceite Comestible Love Potion Frutos Rojos &#8211; 15grs	8488	33952	https://shop.sexitive.com/productos/mini-aceite-comestible-love-potion-frutos-rojos-15grs-2ei4h/		
A04M	MINI Aceite Comestible Love Potion Dulce de Leche &#8211; 15grs	8488	33952	https://shop.sexitive.com/productos/mini-aceite-comestible-love-potion-dulce-de-leche-15grs-k86hh/		
A06M	MINI Aceite Comestible Love Potion Champagne y Frambuesa &#8211; 15grs	8488	33952	https://shop.sexitive.com/productos/mini-aceite-comestible-love-potion-champagne-y-frambuesa-15grs-27us5/		
A24M	MINI Aceite Comestible Love Potion Frutilla &#8211; 15grs	8488	33952	https://shop.sexitive.com/productos/mini-aceite-comestible-love-potion-frutilla-15grs-m5nry/		
S03	Aceite para masajes SensBomb efecto calor | MACA 130 ml	18604	74416	https://shop.sexitive.com/productos/aceite-para-masajes-sensbomb-efecto-calor-maca-130-ml/		
S04	Aceite para masajes SensBomb efecto calor | SANDALO ROJO 130 ml	18604	74416	https://shop.sexitive.com/productos/aceite-para-masajes-sensbomb-efecto-calor-sandalo-rojo-130-ml/		
	Massage Candle Body Souffle Strawberries &#8211; 30 gr	10342	41368	https://shop.sexitive.com/productos/massage-candle-body-souffle-strawberries-30-gr-w7g3o/		
	Massage Candle Body Souffle Mango & Maracuya &#8211; 30 gr	10342	41368	https://shop.sexitive.com/productos/massage-candle-body-souffle-mango-maracuya-30-gr-wxlfn/		
D90	Massage Candle French Pistachio Macaron &#8211; 30 gr	10342	41368	https://shop.sexitive.com/productos/massage-candle-french-pistachio-macaron-30-gr/		
D63	Massage Candle BE &#8211; 30 gr	10342	41368	https://shop.sexitive.com/productos/massage-candle-be-30-gr/		
D55	Massage Candle Vainilla Coconut Crush &#8211; 30 gr	10342	41368	https://shop.sexitive.com/productos/massage-candle-vainilla-coconut-crush-30-gr/		
D62	Massage Candle Capuccino & Dulce de Leche &#8211; 30 gr	10342	41368	https://shop.sexitive.com/productos/massage-candle-capuccino-y-dulce-de-leche-30-gr/		
D99	Massage Candle Wild Berries &#8211; 30 gr	10342	41368	https://shop.sexitive.com/productos/massage-candle-wild-berries-30-gr/		
	Massage Candle Desire Coconut 30grs	10342	41368	https://shop.sexitive.com/productos/massage-candle-desire-coconut-30grs/		
	Gel Intimo Sens Bomb Maca &#8211; 70 gr	8608	34432	https://shop.sexitive.com/productos/gel-intimo-sens-bomb-maca-70-gr-uak7j/		
	Gel Intimo Sens Bomb Sandalo Rojo &#8211; 70 gr	8608	34432	https://shop.sexitive.com/productos/gel-intimo-sens-bomb-sandalo-rojo-70-gr-absli/		
S01	Gel Intimo Sens Bomb Maca &#8211; 70 gr	8608	34432	https://shop.sexitive.com/productos/gel-intimo-sens-bomb-maca-70-gr-uak7j/		
S02	Gel Intimo Sens Bomb Sandalo Rojo &#8211; 70 gr	8608	34432	https://shop.sexitive.com/productos/gel-intimo-sens-bomb-sandalo-rojo-70-gr-absli/		
	Body Splash Aphrodisiac Crazy Girl &#8211; 100ml	12768	51072	https://shop.sexitive.com/productos/body-splash-aphrodisiac-crazy-girl-100ml/		
BSN03	Body splash Love Aphrodisiac &#8211; 100ml	12768	51072	https://shop.sexitive.com/productos/body-splash-love-aphrodisiac-100ml/		
	Perfume afrodisíaco For Him &#8211; 100 ml	38932	155728	https://shop.sexitive.com/productos/perfume-afrodisiaco-for-him-100-ml/		
FH	Perfume afrodisíaco For Him &#8211; 100 ml	38932	155728	https://shop.sexitive.com/productos/perfume-afrodisiaco-for-him-100-ml/		
	Perfume It Femme &#8211; 60ml	30280	121120	https://shop.sexitive.com/productos/perfume-it-femme-60ml/		
	Perfume It Femme FLORALE Aphrodisiac &#8211; 60ml	30280	121120	https://shop.sexitive.com/productos/perfume-it-femme-florale-aphrodisiac-60ml/		
	Aceite y Lubricante Desire Coconut 2 en 1 &#8211; 60ml	10952	43808	https://shop.sexitive.com/productos/aceite-y-lubricante-desire-coconut-2-en-1-60ml/		
	BE Crema Corporal Perfumada &#8211; 200g	20836	83344	https://shop.sexitive.com/productos/be-crema-corporal-perfumada-200g/		
SM04	Crema para masajes Sensual Massage &#8211; coconut &#8211; 200grs	20836	83344	https://shop.sexitive.com/productos/sensual-massage-coconut-200grs/		
	Iluminador Glitter Guest 30ml &#8211; Nueva Formula	17008	68032	https://shop.sexitive.com/productos/iluminador-glitter-guest-30ml-nueva-formula/		
	Oh my god! Juego de dados clásico	7250	29000	https://shop.sexitive.com/productos/oh-my-god-juego-de-dados-clasico/		
	Antifaz Luxury	13648	54592	https://shop.sexitive.com/productos/antifaz-luxury/		
	Mine, my pleasure. Gel íntimo 50ml	11030	44120	https://shop.sexitive.com/productos/mine-my-pleasure-gel-intimo-50ml-1ezur/
